ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
122462532|Cash Machine (Cardtronics)|02090141|330932|187242|1|10002148122|osgb1000027520777|10|27100264|1|115.3|Royal Gwent Hospital|Cardiff Road|Newport|Gwent|NP20 2UB|Casnewydd - Newport||||||VocaLink|2025-03-01
115404755|Cash Machine (Cardtronics)|02090141|328977|185111|1|10002155335|osgb1000002022560213|10|27101453|1|58|Duffryn Shopping Centre|Tredegar House Drive|Newport|Gwent|NP10 8TE|Casnewydd - Newport||||||VocaLink|2025-03-01
113025180|Cash Machine (Cardtronics)|02090141|329448|186951|1|10090273412|osgb1000027480913|4|27104916|1|40.1|41-43|Gaer Road|Newport|Gwent|NP20 3GY|Casnewydd - Newport||||||VocaLink|2025-03-01
125419417|Cash Machine (Santander)|02090141|329420|195598|1|100100981027|osgb1000027492524|3|40802391|3|23.9|11|North Walk|Cwmbran|Gwent|NP44 1XF|Torfaen - Torfaen||||||VocaLink|2025-03-01
124442349|Cash Machine (Paypoint Ltd)|02090141|328158|193531|1|100100785449|osgb1000027453056|4|40801501|1|55.4|129|Trostrey|Hollybush, Cwmbran|Gwent|NP44 7JF|Torfaen - Torfaen||||||VocaLink|2025-03-01
124443119|Cash Machine (Paypoint Ltd)|02090141|332456|189883|1|100100653889|osgb1000027611051|4|27100238|2|11.2|392|Caerleon Road|Newport|Gwent|NP19 7LT|Casnewydd - Newport||||||VocaLink|2025-03-01
124442147|Cash Machine (Cardtronics)|02090141|332103|189251|1|100100970872|osgb1000027612798|3|27100238|1|24|211|Caerleon Road|Newport|Gwent|NP19 7HA|Casnewydd - Newport||||||VocaLink|2025-03-01
125417496|Cash Machine (Cardtronics)|02090141|329195|199093|1|100100979081|osgb1000027498533|4|40801605|1|10.7|5|Windsor Road|Griffithstown, Pontypool|Gwent|NP4 5HY|Torfaen - Torfaen||||||VocaLink|2025-03-01
115403795|Cash Machine (Cardtronics)|02090141|334190|187046|1|100100663671|osgb1000027666892|2|27100538|1|15.3|1|Fallowfield Drive|Newport|Gwent|NP19 4TD|Casnewydd - Newport||||||VocaLink|2025-03-01
124443117|Cash Machine (Paypoint Ltd)|02090141|331598|186701|1|100100973048|osgb1000027566448|5|27100045|1|21.5|16|Alexandra Road|Newport|Gwent|NP20 2GY|Casnewydd - Newport||||||VocaLink|2025-03-01
113025788|Cash Machine (Royal Bank of Scotland)|02090141|326945.6|188932.4|1|100101046459|osgb5000005130462497|1|27100292|1|30.7|108|Cefn Road|Rogerstone, Newport|Gwent|NP10 9EX|Casnewydd - Newport||||||VocaLink|2025-03-01
113025037|Cash Machine (Cardtronics)|02090141|331943.3|188438.8|1||osgb1000027573075|7|27111812|2|17.9|57-59|Chepstow Road|Newport|Gwent|NP19 8BY|Casnewydd - Newport||||||VocaLink|2025-03-01
123706622|Cash Machine (Cardtronics)|02090141|333444|191904.4|1|100101055469|osgb1000027647592|4|27101152|1|22.1|Boxer Shopping Ltd|Ponthir Road|Newport|Gwent|NP18 3NY|Casnewydd - Newport||||||VocaLink|2025-03-01
124441372|Cash Machine (Cardtronics)|02090141|324424|189902|1|43072339|osgb1000027398036|3|47501263|1|26.7|153|Commercial Street|Pontymister, Risca|Gwent|NP11 6EE|Caerffili - Caerphilly||||||VocaLink|2025-03-01
124441294|Cash Machine (Cardtronics)|02090141|328185|188060|1|10002147015|osgb1000002715067354|2|27100734|2|31.5|Highcross Road|Rogerstone||Gwent|NP10 9AE|Casnewydd - Newport||||||VocaLink|2025-03-01
124441300|Cash Machine (Cardtronics)|02090141|333298|187571|1|10090274851|osgb1000027639849|5|27100421|2|27.7|Cromwell Road||Newport|Gwent|NP19 0HT|Casnewydd - Newport||||||VocaLink|2025-03-01
115403750|Cash Machine (Cardtronics)|02090141|329840|186235|1|100100654815|osgb1000027481474|3|27100264|1|11.8|201|Cardiff Road|Newport|Gwent|NP20 3BP|Casnewydd - Newport||||||VocaLink|2025-03-01
133847374|Cash Machine (NoteMachine Ltd)|02090141|331113|188237|1|100100972197|osgb1000027573294|3|27104824|1|10.9|186|Upper Dock Street|Newport|Gwent|NP20 1DB|Casnewydd - Newport||||||VocaLink|2025-03-01
127488845|Cash Machine (NoteMachine Ltd)|02090141|332880|189860|1|100100970519|osgb1000027609870|2|27100238|1|13.5|504|Caerleon Road|Newport|Gwent|NP19 7NL|Casnewydd - Newport||||||VocaLink|2025-03-01
